id,query,search_count,unique_searchers,trend_score,category,is_active,last_searched_at,created_at,updated_at
05939013-f96d-4eb4-b7de-2d82a118aa68,ai,1,1,0.0000,,true,"""2026-02-11T11:22:55.740Z""","""2026-02-11T11:22:55.740Z""","""2026-02-11T11:22:55.740Z"""
d542665a-1e63-4431-85d2-f54dc3edce01,学习,2,1,51.9863,,true,"""2026-02-11T11:28:15.835Z""","""2026-02-11T11:27:53.023Z""","""2026-02-11T11:28:15.835Z"""
6989e26d-42ff-4921-a5d6-ad3038d280b1,老k,1,1,0.0000,,true,"""2026-02-11T13:14:41.741Z""","""2026-02-11T13:14:41.741Z""","""2026-02-11T13:14:41.741Z"""
0f4ae866-c747-4789-b72b-fc9d3792c6a3,老字号,2,1,51.6005,,true,"""2026-02-11T13:26:20.730Z""","""2026-02-11T13:15:11.771Z""","""2026-02-11T13:26:20.730Z"""
b869a14d-542d-4377-a790-a5b5261b53e4,夕阳西下,1,1,0.0000,,true,"""2026-02-13T13:29:54.264Z""","""2026-02-13T13:29:54.264Z""","""2026-02-13T13:29:54.264Z"""
71121b2c-c200-4f08-9ff9-d4950b3678ac,杨柳青,2,1,51.9831,,true,"""2026-02-13T13:30:23.310Z""","""2026-02-13T13:29:55.260Z""","""2026-02-13T13:30:23.310Z"""
8767830c-50be-4e5d-aee5-6f953374ca92,IP设计,1,1,0.0000,,true,"""2026-02-19T08:32:47.600Z""","""2026-02-19T08:32:47.600Z""","""2026-02-19T08:32:47.600Z"""
2c73b460-4198-4586-a44c-7b681a5a0d1c,纹样设计,3,1,4.1552,,true,"""2026-02-23T07:22:44.608Z""","""2026-02-11T13:15:20.780Z""","""2026-02-23T07:22:44.608Z"""
6e0c135d-9623-40c7-a824-ece4480dc7f0,AI,1,1,0.0000,,true,"""2026-02-23T09:06:29.385Z""","""2026-02-23T09:06:29.385Z""","""2026-02-23T09:06:29.385Z"""
1e538240-62c5-42fd-9781-14d6d0c9351a,品牌设计,2,1,3.1291,,true,"""2026-02-27T01:49:03.484Z""","""2026-02-11T10:58:42.032Z""","""2026-02-27T01:49:03.484Z"""
551ecb37-7078-4623-8716-cfbdaeb60ef4,海河,24,1,3.6700,,true,"""2026-03-02T15:07:50.451Z""","""2026-02-11T11:12:36.468Z""","""2026-03-02T15:07:50.451Z"""
7bb7533d-d248-43d8-9363-badd840fd566,国潮设计,9,1,2.8120,,true,"""2026-03-03T10:32:28.429Z""","""2026-02-11T10:58:40.263Z""","""2026-03-03T10:32:28.429Z"""
