id,user_id,points,type,source,source_type,description,balance_after,related_id,related_type,metadata,created_at,expires_at
9333b363-5490-4ffd-9785-a30fe2d05f58,f3dedf79-5c5e-40fd-9513-d0fb0995d429,10,earned,系统修复,daily,修复积分系统，初始化积分,10,,,"{}","""2026-02-09T14:09:57.871Z""",
d0aeac72-335b-4188-bc5d-e9e8054263b8,f3dedf79-5c5e-40fd-9513-d0fb0995d429,5,earned,每日签到,daily,每日签到获得 5 积分,15,,,"{}","""2026-02-10T01:45:39.195Z""",
29f27deb-84e1-4e14-8ea2-bdbdfeb1174e,00e1a36a-a77b-4bcc-b604-c5655a4ce802,5,earned,每日签到,daily,每日签到获得 5 积分,5,,,"{}","""2026-02-10T03:27:10.736Z""",
7b2e24df-deae-4635-b451-8295206e62d5,478c134c-c5c2-4c01-827b-d142352d4873,5,earned,每日签到,daily,每日签到获得 5 积分,5,,,"{}","""2026-02-10T13:15:25.310Z""",
2b5c1d70-a23d-4026-b2d0-a5ed7a610669,06dbee08-83b6-4d14-a5c1-d0794c8a168e,5,earned,每日签到,daily,每日签到获得 5 积分,5,,,"{}","""2026-02-10T13:40:11.939Z""",
55c46fbe-98d1-4ec5-83b9-214e51a1ac3a,f3dedf79-5c5e-40fd-9513-d0fb0995d429,15,earned,每日签到,daily,连续签到 3 天，获得 15 积分（含 10 额外奖励）,30,,,"{}","""2026-02-11T01:00:52.582Z""",
d7b25286-c859-4813-bdce-dbed1b48eac1,f3dedf79-5c5e-40fd-9513-d0fb0995d429,5,earned,每日签到,daily,每日签到获得 5 积分,35,,,"{}","""2026-02-12T00:50:58.457Z""",
e8c32f0b-be59-47df-a982-ea0e016d7327,478c134c-c5c2-4c01-827b-d142352d4873,5,earned,每日签到,daily,每日签到获得 5 积分,10,,,"{}","""2026-02-12T05:23:38.612Z""",
4f0fda3f-fd74-4aed-bd40-56e83dc35e5b,f3dedf79-5c5e-40fd-9513-d0fb0995d429,-2000,spent,积分商城,exchange,兑换商品：AI创作工具包 x1,1500,,,"{}","""2026-02-12T05:58:50.614Z""",
dc6fbb59-c29a-498f-a4e7-b7608a5a70f8,00e1a36a-a77b-4bcc-b604-c5655a4ce802,5,earned,每日签到,daily,每日签到获得 5 积分,10,,,"{}","""2026-02-12T11:17:06.007Z""",
c5b4ef71-b221-497f-b118-f0a8b0198fee,00e1a36a-a77b-4bcc-b604-c5655a4ce802,15,earned,每日签到,daily,连续签到 3 天，获得 15 积分（含 10 额外奖励）,25,,,"{}","""2026-02-13T11:05:00.284Z""",
